Itens 	Parametro_a	Parametro_b	Parametro_c	Parametro_d	Question	Option.1	Option.2	Option.3	Option.4	Option.5	Answer
Item.331	1.681	2.663	0.283	-4.477	"1+0=?"	1	2	3	4	5	1
Item.332	1.262	-1.485	0.262	1.875	"1+0=?"	1	2	3	4	5	1
Item.333	2.015	0.199	0.224	-0.401	"1+0=?"	1	2	3	4	5	1
Item.334	2.091	-1.778	0.194	3.716	"1+0=?"	1	2	3	4	5	1
Item.335	2.143	1.540	0.172	-3.300	"1+0=?"	1	2	3	4	5	1
Item.336	1.054	0.567	0.176	-0.598	"1+0=?"	1	2	3	4	5	1
Item.337	2.158	0.112	0.277	-0.241	"1+0=?"	1	2	3	4	5	1
Item.338	1.458	-2.091	0.225	3.048	"1+0=?"	1	2	3	4	5	1
Item.339	2.101	-0.707	0.170	1.484	"1+0=?"	1	2	3	4	5	1
Item.340	1.153	1.594	0.177	-1.838	"1+0=?"	1	2	3	4	5	1
Item.341	1.475	-0.023	0.246	0.034	"1+0=?"	1	2	3	4	5	1
Item.342	1.563	2.051	0.257	-3.206	"1+0=?"	1	2	3	4	5	1
Item.343	1.930	-2.068	0.268	3.992	"1+0=?"	1	2	3	4	5	1
Item.344	1.812	1.656	0.166	-3.001	"1+0=?"	1	2	3	4	5	1
Item.345	1.824	2.357	0.256	-4.300	"1+0=?"	1	2	3	4	5	1
Item.346	1.727	-2.273	0.178	3.926	"1+0=?"	1	2	3	4	5	1
Item.347	1.716	0.925	0.238	-1.587	"1+0=?"	1	2	3	4	5	1
Item.348	1.868	-2.775	0.213	5.183	"1+0=?"	1	2	3	4	5	1
Item.349	1.171	0.190	0.244	-0.222	"1+0=?"	1	2	3	4	5	1
Item.350	1.391	2.057	0.287	-2.861	"1+0=?"	1	2	3	4	5	1
Item.351	1.390	2.099	0.271	-2.917	"1+0=?"	1	2	3	4	5	1
Item.352	1.521	0.251	0.291	-0.382	"1+0=?"	1	2	3	4	5	1
Item.353	1.173	-1.661	0.219	1.950	"1+0=?"	1	2	3	4	5	1
Item.354	1.532	1.311	0.235	-2.008	"1+0=?"	1	2	3	4	5	1
Item.355	1.909	1.073	0.211	-2.048	"1+0=?"	1	2	3	4	5	1
Item.356	1.986	1.602	0.198	-3.181	"1+0=?"	1	2	3	4	5	1
Item.357	1.688	-1.972	0.158	3.330	"1+0=?"	1	2	3	4	5	1
Item.358	1.843	1.348	0.253	-2.483	"1+0=?"	1	2	3	4	5	1
Item.359	1.154	2.678	0.166	-3.091	"1+0=?"	1	2	3	4	5	1
Item.360	1.479	0.556	0.155	-0.822	"1+0=?"	1	2	3	4	5	1
Item.361	1.732	-0.900	0.254	1.558	"1+0=?"	1	2	3	4	5	1
Item.362	1.034	0.589	0.267	-0.609	"1+0=?"	1	2	3	4	5	1
Item.363	1.472	2.793	0.237	-4.110	"1+0=?"	1	2	3	4	5	1
Item.364	1.289	-2.951	0.269	3.805	"1+0=?"	1	2	3	4	5	1
Item.365	1.699	0.040	0.217	-0.068	"1+0=?"	1	2	3	4	5	1
Item.366	2.360	-0.294	0.238	0.693	"1+0=?"	1	2	3	4	5	1
Item.367	1.520	2.033	0.215	-3.089	"1+0=?"	1	2	3	4	5	1
Item.368	1.923	2.351	0.281	-4.521	"1+0=?"	1	2	3	4	5	1
Item.369	2.389	2.694	0.274	-6.437	"1+0=?"	1	2	3	4	5	1
Item.370	1.740	-2.793	0.159	4.861	"1+0=?"	1	2	3	4	5	1
Item.371	1.352	1.736	0.278	-2.347	"1+0=?"	1	2	3	4	5	1
Item.372	1.537	0.859	0.175	-1.320	"1+0=?"	1	2	3	4	5	1
Item.373	1.626	1.626	0.185	-2.644	"1+0=?"	1	2	3	4	5	1
Item.374	1.073	1.115	0.182	-1.196	"1+0=?"	1	2	3	4	5	1
Item.375	2.408	-0.323	0.237	0.778	"1+0=?"	1	2	3	4	5	1
Item.376	2.159	2.709	0.216	-5.848	"1+0=?"	1	2	3	4	5	1
Item.377	2.031	1.051	0.275	-2.136	"1+0=?"	1	2	3	4	5	1
Item.378	1.610	-0.075	0.244	0.120	"1+0=?"	1	2	3	4	5	1
Item.379	1.327	-0.049	0.179	0.065	"1+0=?"	1	2	3	4	5	1
Item.380	1.433	-0.126	0.251	0.180	"1+0=?"	1	2	3	4	5	1
Item.381	2.240	-2.723	0.183	6.100	"1+0=?"	1	2	3	4	5	1
Item.382	1.999	1.027	0.236	-2.054	"1+0=?"	1	2	3	4	5	1
Item.383	1.263	0.459	0.177	-0.579	"1+0=?"	1	2	3	4	5	1
Item.384	2.363	1.454	0.273	-3.436	"1+0=?"	1	2	3	4	5	1
Item.385	1.607	-0.402	0.238	0.647	"1+0=?"	1	2	3	4	5	1
Item.386	2.350	1.773	0.242	-4.166	"1+0=?"	1	2	3	4	5	1
Item.387	2.120	2.441	0.291	-5.174	"1+0=?"	1	2	3	4	5	1
Item.388	2.286	2.829	0.160	-6.466	"1+0=?"	1	2	3	4	5	1
Item.389	1.201	-2.430	0.265	2.918	"1+0=?"	1	2	3	4	5	1
Item.390	1.436	1.394	0.244	-2.002	"1+0=?"	1	2	3	4	5	1
Item.391	2.381	-0.512	0.173	1.220	"1+0=?"	1	2	3	4	5	1
Item.392	1.086	-1.626	0.273	1.765	"1+0=?"	1	2	3	4	5	1
Item.393	1.135	1.621	0.274	-1.839	"1+0=?"	1	2	3	4	5	1
Item.394	1.895	2.941	0.172	-5.573	"1+0=?"	1	2	3	4	5	1
Item.395	2.451	2.468	0.235	-6.051	"1+0=?"	1	2	3	4	5	1
Item.396	1.842	0.428	0.207	-0.788	"1+0=?"	1	2	3	4	5	1
Item.397	1.027	-1.092	0.239	1.122	"1+0=?"	1	2	3	4	5	1
Item.398	1.531	-0.565	0.289	0.865	"1+0=?"	1	2	3	4	5	1
Item.399	1.686	-2.184	0.268	3.682	"1+0=?"	1	2	3	4	5	1
Item.400	1.937	0.179	0.272	-0.347	"1+0=?"	1	2	3	4	5	1
Item.401	2.145	-0.612	0.268	1.313	"1+0=?"	1	2	3	4	5	1
Item.402	2.081	1.432	0.237	-2.981	"1+0=?"	1	2	3	4	5	1
Item.403	1.532	-2.392	0.155	3.664	"1+0=?"	1	2	3	4	5	1
Item.404	1.821	1.189	0.261	-2.166	"1+0=?"	1	2	3	4	5	1
Item.405	1.513	2.014	0.175	-3.047	"1+0=?"	1	2	3	4	5	1
Item.406	1.553	-1.837	0.205	2.854	"1+0=?"	1	2	3	4	5	1
Item.407	2.439	0.869	0.213	-2.120	"1+0=?"	1	2	3	4	5	1
Item.408	2.456	1.214	0.247	-2.980	"1+0=?"	1	2	3	4	5	1
Item.409	2.061	2.012	0.206	-4.147	"1+0=?"	1	2	3	4	5	1
Item.410	1.501	-0.538	0.267	0.808	"1+0=?"	1	2	3	4	5	1
Item.411	2.488	0.553	0.271	-1.375	"1+0=?"	1	2	3	4	5	1
Item.412	2.131	-0.975	0.212	2.077	"1+0=?"	1	2	3	4	5	1
Item.413	2.074	1.170	0.263	-2.427	"1+0=?"	1	2	3	4	5	1
Item.414	1.338	2.656	0.167	-3.552	"1+0=?"	1	2	3	4	5	1
Item.415	1.879	-0.379	0.261	0.712	"1+0=?"	1	2	3	4	5	1
Item.416	1.175	-2.082	0.254	2.447	"1+0=?"	1	2	3	4	5	1
Item.417	1.520	-1.929	0.157	2.933	"1+0=?"	1	2	3	4	5	1
Item.418	2.050	1.603	0.246	-3.287	"1+0=?"	1	2	3	4	5	1
Item.419	1.727	2.669	0.224	-4.609	"1+0=?"	1	2	3	4	5	1
Item.420	1.271	-1.418	0.280	1.802	"1+0=?"	1	2	3	4	5	1
Item.421	2.036	-1.785	0.160	3.634	"1+0=?"	1	2	3	4	5	1
Item.422	1.927	2.081	0.239	-4.009	"1+0=?"	1	2	3	4	5	1
Item.423	1.315	0.529	0.264	-0.696	"1+0=?"	1	2	3	4	5	1
Item.424	1.867	1.040	0.156	-1.942	"1+0=?"	1	2	3	4	5	1
Item.425	2.126	2.972	0.193	-6.317	"1+0=?"	1	2	3	4	5	1
Item.426	2.155	-1.313	0.241	2.830	"1+0=?"	1	2	3	4	5	1
Item.427	1.743	-1.702	0.161	2.966	"1+0=?"	1	2	3	4	5	1
Item.428	1.426	2.324	0.156	-3.313	"1+0=?"	1	2	3	4	5	1
Item.429	1.861	-0.718	0.232	1.336	"1+0=?"	1	2	3	4	5	1
Item.430	1.897	-2.530	0.250	4.799	"1+0=?"	1	2	3	4	5	1
Item.431	2.140	2.211	0.205	-4.732	"1+0=?"	1	2	3	4	5	1
Item.432	1.479	-2.407	0.263	3.561	"1+0=?"	1	2	3	4	5	1
Item.433	2.142	-0.929	0.251	1.990	"1+0=?"	1	2	3	4	5	1
Item.434	2.201	-2.549	0.214	5.612	"1+0=?"	1	2	3	4	5	1
Item.435	2.353	-2.184	0.273	5.138	"1+0=?"	1	2	3	4	5	1
Item.436	1.743	1.367	0.257	-2.383	"1+0=?"	1	2	3	4	5	1
Item.437	2.306	0.291	0.194	-0.670	"1+0=?"	1	2	3	4	5	1
Item.438	1.371	-2.759	0.278	3.784	"1+0=?"	1	2	3	4	5	1
Item.439	1.295	2.875	0.224	-3.725	"1+0=?"	1	2	3	4	5	1
Item.440	2.257	0.570	0.204	-1.286	"1+0=?"	1	2	3	4	5	1
Item.441	2.127	2.539	0.245	-5.402	"1+0=?"	1	2	3	4	5	1
Item.442	1.133	-0.065	0.295	0.073	"1+0=?"	1	2	3	4	5	1
Item.443	1.875	-0.566	0.262	1.061	"1+0=?"	1	2	3	4	5	1
Item.444	2.301	0.069	0.293	-0.160	"1+0=?"	1	2	3	4	5	1
Item.445	1.525	-2.808	0.237	4.281	"1+0=?"	1	2	3	4	5	1
Item.446	1.722	-1.529	0.267	2.633	"1+0=?"	1	2	3	4	5	1
Item.447	1.165	2.500	0.297	-2.912	"1+0=?"	1	2	3	4	5	1
Item.448	1.556	0.402	0.202	-0.625	"1+0=?"	1	2	3	4	5	1
Item.449	2.497	-1.019	0.265	2.546	"1+0=?"	1	2	3	4	5	1
Item.450	2.251	-1.364	0.174	3.071	"1+0=?"	1	2	3	4	5	1
Item.451	2.249	-2.245	0.267	5.048	"1+0=?"	1	2	3	4	5	1
Item.452	2.262	2.365	0.266	-5.349	"1+0=?"	1	2	3	4	5	1
Item.453	2.106	2.960	0.153	-6.232	"1+0=?"	1	2	3	4	5	1
Item.454	2.457	1.921	0.249	-4.718	"1+0=?"	1	2	3	4	5	1
Item.455	2.409	-0.237	0.294	0.571	"1+0=?"	1	2	3	4	5	1
Item.456	1.338	-1.829	0.279	2.448	"1+0=?"	1	2	3	4	5	1
Item.457	2.036	-0.203	0.276	0.412	"1+0=?"	1	2	3	4	5	1
Item.458	1.196	-0.603	0.165	0.722	"1+0=?"	1	2	3	4	5	1
Item.459	1.580	-0.921	0.225	1.456	"1+0=?"	1	2	3	4	5	1
Item.460	1.216	1.848	0.278	-2.248	"1+0=?"	1	2	3	4	5	1
Item.461	1.045	-0.670	0.204	0.700	"1+0=?"	1	2	3	4	5	1
Item.462	1.297	0.808	0.293	-1.048	"1+0=?"	1	2	3	4	5	1
Item.463	2.236	1.724	0.298	-3.855	"1+0=?"	1	2	3	4	5	1
Item.464	1.359	0.570	0.225	-0.775	"1+0=?"	1	2	3	4	5	1
Item.465	1.835	-2.690	0.205	4.938	"1+0=?"	1	2	3	4	5	1
Item.466	1.118	0.065	0.188	-0.072	"1+0=?"	1	2	3	4	5	1
Item.467	1.138	1.453	0.228	-1.654	"1+0=?"	1	2	3	4	5	1
Item.468	2.208	-0.387	0.210	0.854	"1+0=?"	1	2	3	4	5	1
Item.469	1.657	-2.703	0.281	4.480	"1+0=?"	1	2	3	4	5	1
Item.470	1.941	-2.670	0.171	5.182	"1+0=?"	1	2	3	4	5	1
Item.471	1.112	-1.751	0.251	1.947	"1+0=?"	1	2	3	4	5	1
Item.472	1.538	0.615	0.191	-0.946	"1+0=?"	1	2	3	4	5	1
Item.473	1.179	-1.379	0.276	1.626	"1+0=?"	1	2	3	4	5	1
Item.474	1.033	2.883	0.265	-2.979	"1+0=?"	1	2	3	4	5	1
Item.475	1.278	-0.515	0.222	0.659	"1+0=?"	1	2	3	4	5	1
Item.476	1.455	1.836	0.169	-2.673	"1+0=?"	1	2	3	4	5	1
Item.477	2.430	2.355	0.213	-5.722	"1+0=?"	1	2	3	4	5	1
Item.478	1.015	-1.060	0.241	1.076	"1+0=?"	1	2	3	4	5	1
Item.479	1.406	-2.805	0.156	3.944	"1+0=?"	1	2	3	4	5	1
Item.480	1.523	-1.898	0.237	2.891	"1+0=?"	1	2	3	4	5	1
Item.481	1.859	0.237	0.235	-0.440	"1+0=?"	1	2	3	4	5	1
Item.482	2.369	0.641	0.294	-1.518	"1+0=?"	1	2	3	4	5	1
Item.483	1.312	1.888	0.255	-2.477	"1+0=?"	1	2	3	4	5	1
Item.484	2.253	-2.886	0.209	6.501	"1+0=?"	1	2	3	4	5	1
Item.485	1.805	-1.515	0.163	2.735	"1+0=?"	1	2	3	4	5	1
Item.486	2.212	0.364	0.251	-0.806	"1+0=?"	1	2	3	4	5	1
Item.487	2.477	0.338	0.215	-0.837	"1+0=?"	1	2	3	4	5	1
Item.488	1.935	-0.176	0.221	0.341	"1+0=?"	1	2	3	4	5	1
Item.489	1.431	-0.571	0.174	0.817	"1+0=?"	1	2	3	4	5	1
Item.490	2.195	2.575	0.280	-5.651	"1+0=?"	1	2	3	4	5	1
Item.491	1.805	1.794	0.209	-3.237	"1+0=?"	1	2	3	4	5	1
Item.492	2.062	-2.451	0.213	5.055	"1+0=?"	1	2	3	4	5	1
Item.493	2.408	-1.094	0.219	2.634	"1+0=?"	1	2	3	4	5	1
Item.494	2.117	-0.616	0.258	1.305	"1+0=?"	1	2	3	4	5	1
Item.495	1.190	-1.950	0.169	2.321	"1+0=?"	1	2	3	4	5	1
Item.496	1.305	-0.473	0.281	0.617	"1+0=?"	1	2	3	4	5	1
Item.497	2.410	0.357	0.246	-0.861	"1+0=?"	1	2	3	4	5	1
Item.498	1.646	-1.987	0.297	3.271	"1+0=?"	1	2	3	4	5	1
Item.499	1.819	1.801	0.240	-3.276	"1+0=?"	1	2	3	4	5	1
Item.500	2.296	-0.415	0.249	0.953	"1+0=?"	1	2	3	4	5	1
